service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
SEPT18-IneoA06-Vendredi-00,0,0,0,0,1,0,0,20190913,20191220
SEPT18-IneoA06-Vendredi-00-0000100,0,0,0,0,1,0,0,20190913,20191220
SEPT18-InéoB6s-Samedi-00,0,0,0,0,0,1,0,20190914,20191221
SEPT18-IneoC19-Dimanche-02,0,0,0,0,0,0,1,20190915,20191222
SEPT18-IneoA06-Lun-Mar-00,1,1,0,0,0,0,0,20190916,20191217
SEPT18-IneoA06-Lun-Mar-00-1100000,1,1,0,0,0,0,0,20190916,20191217
SEPT18-IneoA06-Lun-Mar-00-0100000,0,1,0,0,0,0,0,20190916,20191217
SEPT18-IneoA06-Lun-Mar-00-1000000,1,0,0,0,0,0,0,20190916,20191217
SEPT18-IneoA06-Mercredi-00,0,0,1,0,0,0,0,20190918,20191218
SEPT18-IneoA06-Mercredi-00-0010000,0,0,1,0,0,0,0,20190918,20191218
SEPT18-IneoA06-Jeudi-00,0,0,0,1,0,0,0,20190919,20191219
SEPT18-IneoA06-Jeudi-00-0001000,0,0,0,1,0,0,0,20190919,20191219
SEPT18-IneoD06-Lun-Mer-01,1,1,1,0,0,0,0,20191021,20191023
SEPT18-IneoD06-Lun-Mer-01-1000000,1,0,0,0,0,0,0,20191021,20191023
SEPT18-IneoD06-Lun-Mer-01-1010000,1,0,1,0,0,0,0,20191021,20191023
SEPT18-IneoD06-Lun-Mer-01-0010000,0,0,1,0,0,0,0,20191021,20191023
SEPT18-IneoD06-Jeu-Ven-01,0,0,0,1,1,0,0,20191024,20191025
SEPT18-IneoD06-Jeu-Ven-01-0001100,0,0,0,1,1,0,0,20191024,20191025
SEPT18-IneoD06-Jeu-Ven-01-0001000,0,0,0,1,0,0,0,20191024,20191025
SEPT18-IneoD06-Jeu-Ven-01-0000100,0,0,0,0,1,0,0,20191024,20191025
SEPT18-IneoE06a-Samedi-01,0,0,0,0,0,1,0,20191026,20191026
SEPT18-IneoD06a-Lun-Mer-02,1,1,1,0,0,0,0,20191028,20191030
SEPT18-IneoD06a-Lun-Mer-02-1000000,1,0,0,0,0,0,0,20191028,20191030
SEPT18-IneoD06a-Lun-Mer-02-1010000,1,0,1,0,0,0,0,20191028,20191030
SEPT18-IneoD06a-Lun-Mer-02-0010000,0,0,1,0,0,0,0,20191028,20191030
SEPT18-IneoD06a-Jeu-Ven-03,0,0,0,1,1,0,0,20191031,20191031
SEPT18-IneoD06a-Jeu-Ven-03-0001100,0,0,0,1,1,0,0,20191031,20191031
SEPT18-IneoD06a-Jeu-Ven-03-0001000,0,0,0,1,0,0,0,20191031,20191031
SEPT18-IneoD06a-Jeu-Ven-03-0000100,0,0,0,0,1,0,0,20191031,20191031
SEPT18-IneoE16a-Samedi-00,0,0,0,0,0,1,0,20191102,20191102
TSEP18-TA03-Semaine-00,1,1,1,1,1,0,0,20190913,20191220
TSEP18-TB06-Samedi-00,0,0,0,0,0,1,0,20190914,20191221
TSEP18-TR07-Dimanche-00,0,0,0,0,0,0,1,20190915,20191222
TSEP18-TB06Foi-Samedi-02,0,0,0,0,0,1,0,20190928,20190928
TSEP18-TR07-Dimanche-01,0,0,0,0,0,0,1,20190929,20190929
TEINEO-CIneo-Vendredi-01,0,0,0,0,1,0,0,20190913,20191220
TEINEO-CIneo-Samedi-01,0,0,0,0,0,1,0,20190914,20191221
TEINEO-CIneo-Dimanche-01,0,0,0,0,0,0,1,20190915,20191222
TEINEO-CIneo-Lundi-01,1,0,0,0,0,0,0,20190916,20191216
TEINEO-CIneo-Mardi-01,0,1,0,0,0,0,0,20190917,20191217
TEINEO-CIneo-Mercredi-01,0,0,1,0,0,0,0,20190918,20191218
TEINEO-CIneo-Jeudi-01,0,0,0,1,0,0,0,20190919,20191219
