service_id,date,exception_type
SEPT18-IneoA06-Vendredi-00,20191025,2
SEPT18-IneoA06-Vendredi-00-0000100,20191025,2
SEPT18-IneoA06-Vendredi-00,20191101,2
SEPT18-IneoA06-Vendredi-00-0000100,20191101,2
SEPT18-InéoB6s-Samedi-00,20191026,2
SEPT18-InéoB6s-Samedi-00,20191102,2
SEPT18-IneoC19-Dimanche-02,20191101,1
SEPT18-IneoA06-Lun-Mar-00,20191021,2
SEPT18-IneoA06-Lun-Mar-00-1100000,20191021,2
SEPT18-IneoA06-Lun-Mar-00-0100000,20191021,2
SEPT18-IneoA06-Lun-Mar-00-1000000,20191021,2
SEPT18-IneoA06-Lun-Mar-00,20191022,2
SEPT18-IneoA06-Lun-Mar-00-1100000,20191022,2
SEPT18-IneoA06-Lun-Mar-00-0100000,20191022,2
SEPT18-IneoA06-Lun-Mar-00-1000000,20191022,2
SEPT18-IneoA06-Lun-Mar-00,20191028,2
SEPT18-IneoA06-Lun-Mar-00-1100000,20191028,2
SEPT18-IneoA06-Lun-Mar-00-0100000,20191028,2
SEPT18-IneoA06-Lun-Mar-00-1000000,20191028,2
SEPT18-IneoA06-Lun-Mar-00,20191029,2
SEPT18-IneoA06-Lun-Mar-00-1100000,20191029,2
SEPT18-IneoA06-Lun-Mar-00-0100000,20191029,2
SEPT18-IneoA06-Lun-Mar-00-1000000,20191029,2
SEPT18-IneoA06-Mercredi-00,20191023,2
SEPT18-IneoA06-Mercredi-00-0010000,20191023,2
SEPT18-IneoA06-Mercredi-00,20191030,2
SEPT18-IneoA06-Mercredi-00-0010000,20191030,2
SEPT18-IneoA06-Jeudi-00,20191024,2
SEPT18-IneoA06-Jeudi-00-0001000,20191024,2
SEPT18-IneoA06-Jeudi-00,20191031,2
SEPT18-IneoA06-Jeudi-00-0001000,20191031,2
TSEP18-TA03-Semaine-00,20191101,2
TSEP18-TB06-Samedi-00,20190928,2
TSEP18-TR07-Dimanche-00,20190929,2
TSEP18-TR07-Dimanche-00,20191101,1
TEINEO-CIneo-Vendredi-01,20191101,2
TEINEO-CIneo-Dimanche-01,20191101,1
TEINEO-CIneo-Dimanche-01,20191111,1
TEINEO-CIneo-Lundi-01,20191111,2
