stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding
K_LESV_1,"Kerichen Lesven",,  48.406078,  -4.479059,,,,1
4CHEM_1,"4 Chemins",,  48.405392,  -4.477817,,,,2
JANSEN_1,"Jansen",,  48.428520,  -4.442316,,,,2
8MAI_2,"8 mai 1945",,  48.413361,  -4.475469,,,,2
8MAI_1,"8 mai 1945",,  48.412968,  -4.475593,,,,2
KEROUM_1,"Keroumen",,  48.412270,  -4.394499,,,,1
KEROUM_2,"Keroumen",,  48.412315,  -4.394492,,,,1
ABER_1,"Aber-Ildut",,  48.380985,  -4.613691,,,,1
ABER_2,"Aber-Ildut",,  48.380474,  -4.613637,,,,1
AMUNDS_2,"Amundsen",,  48.377964,  -4.523359,,,,1
AMUNDS_1,"Amundsen",,  48.378033,  -4.523422,,,,1
A_RONA_1,"Amiral Ronarc'h",,  48.395489,  -4.523859,,,,1
A_RONA_2,"Amiral Ronarc'h",,  48.395424,  -4.524541,,,,1
ANJOU_2,"Anjou",,  48.454910,  -4.464996,,,,1
LAVOIS_1,"Lavoisier",,  48.426956,  -4.443631,,,,2
CORIO_1,"Coriolis",,  48.427330,  -4.446839,,,,1
FRESN_1,"Fresnel",,  48.428822,  -4.448362,,,,2
COMTE_1,"Comte",,  48.377949,  -4.536796,,,,2
COMTE_2,"Comte",,  48.377995,  -4.536449,,,,2
PASTEU_2,"Pasteur",,  48.400822,  -4.488943,,,,1
PASTEU_1,"Pasteur",,  48.400051,  -4.489032,,,,1
PAULET_2,"Paulet",,  48.414841,  -4.475187,,,,1
PAULET_1,"Paulet",,  48.415321,  -4.475317,,,,1
FRANKL_2,"Franklin",,  48.408073,  -4.497739,,,,1
FRANKL_1,"Franklin",,  48.408073,  -4.497739,,,,1
BARADO_2,"Baradozic",,  48.395214,  -4.412801,,,,1
BARADO_1,"Baradozic",,  48.395378,  -4.415153,,,,1
BARATI_2,"Baratier",,  48.401424,  -4.509365,,,,2
BARATI_1,"Baratier",,  48.401665,  -4.509423,,,,2
KENNED_1,"Kennedy Gare",,  48.387470,  -4.482618,,,,1
DE_RO_2,"De Rochon",,  48.361050,  -4.564936,,,,1
