route_id,service_id,trip_id,trip_headsign,block_id,direction_id,wheelchair_accessible
400,SEPT18-IneoA06-Jeudi-00-0001000,5401396-SEPT18-IneoA06-Jeudi-00-0001000,"Mirabeau",1569967,0,2
400,SEPT18-IneoA06-Jeudi-00,5401397-SEPT18-IneoA06-Jeudi-00,"Mirabeau",1569994,0,2
400,SEPT18-IneoA06-Jeudi-00-0001000,5401398-SEPT18-IneoA06-Jeudi-00-0001000,"Restic",1570020,1,2
400,SEPT18-IneoA06-Jeudi-00-0001000,5401399-SEPT18-IneoA06-Jeudi-00-0001000,"Restic",1570020,1,2
400,SEPT18-IneoA06-Jeudi-00,5401400-SEPT18-IneoA06-Jeudi-00,"Restic",1569974,1,2
420,SEPT18-IneoA06-Jeudi-00-0001000,5401401-SEPT18-IneoA06-Jeudi-00-0001000,"Strasb-Le Bot",1569971,0,2
420,SEPT18-IneoA06-Jeudi-00,5401402-SEPT18-IneoA06-Jeudi-00,"Voy HLP",1569971,1,2
420,SEPT18-IneoA06-Jeudi-00,5401403-SEPT18-IneoA06-Jeudi-00,"Strasb-Le Bot",1569969,0,2
420,SEPT18-IneoA06-Jeudi-00-0001000,5401404-SEPT18-IneoA06-Jeudi-00-0001000,"Voy HLP",1569951,1,2
420,SEPT18-IneoA06-Jeudi-00-0001000,5401405-SEPT18-IneoA06-Jeudi-00-0001000,"Voy HLP",1569977,1,2
450,SEPT18-IneoA06-Jeudi-00,5401406-SEPT18-IneoA06-Jeudi-00,"Kerichen Lycée",1569917,1,2
501,SEPT18-IneoA06-Jeudi-00,5401407-SEPT18-IneoA06-Jeudi-00,"Guilers - Kgleuz",1570069,0,2
501,SEPT18-IneoA06-Jeudi-00-0001000,5401409-SEPT18-IneoA06-Jeudi-00-0001000,"Bohars",1570086,1,2
510,SEPT18-IneoA06-Jeudi-00,5401410-SEPT18-IneoA06-Jeudi-00,"Kles via PGoues",1569941,0,2
510,SEPT18-IneoA06-Jeudi-00-0001000,5401411-SEPT18-IneoA06-Jeudi-00-0001000,"Gouesnou - PGoues",1570071,1,2
510,SEPT18-IneoA06-Jeudi-00-0001000,5401412-SEPT18-IneoA06-Jeudi-00-0001000,"Gouesnou - PGoues",1570071,1,2
510,SEPT18-IneoA06-Jeudi-00,5401414-SEPT18-IneoA06-Jeudi-00,"Kles via PGoues",1569935,0,2
510,SEPT18-IneoA06-Jeudi-00-0001000,5401415-SEPT18-IneoA06-Jeudi-00-0001000,"Gouesnou - PGoues",1570084,1,2
511,SEPT18-IneoA06-Jeudi-00,5401416-SEPT18-IneoA06-Jeudi-00,"KLes par Kergroas",1569967,0,2
511,SEPT18-IneoA06-Jeudi-00-0001000,5401417-SEPT18-IneoA06-Jeudi-00-0001000,"Gouesnou-Kergroas",1569958,1,2
512,SEPT18-IneoA06-Jeudi-00,5401419-SEPT18-IneoA06-Jeudi-00,"Vizac/St Charles",1570091,0,2
512,SEPT18-IneoA06-Jeudi-00-0001000,5401420-SEPT18-IneoA06-Jeudi-00-0001000,"Gouesnou-Kerlois",1570093,1,2
513,SEPT18-IneoA06-Jeudi-00,5401422-SEPT18-IneoA06-Jeudi-00,"Vizac/St Charles",1570094,0,2
513,SEPT18-IneoA06-Jeudi-00-0001000,5401423-SEPT18-IneoA06-Jeudi-00-0001000,"Gouesnou-Penhoat",1570095,1,2
514,SEPT18-IneoA06-Jeudi-00-0001000,5401425-SEPT18-IneoA06-Jeudi-00-0001000,"Gouesnou",1570092,1,2
514,SEPT18-IneoA06-Jeudi-00-0001000,5401426-SEPT18-IneoA06-Jeudi-00-0001000,"Vizac/St Charles",1570092,0,2
521,SEPT18-IneoA06-Jeudi-00,5401427-SEPT18-IneoA06-Jeudi-00,"Landais/Dupuy",1570075,0,2
531,SEPT18-IneoA06-Jeudi-00,5401428-SEPT18-IneoA06-Jeudi-00,"Mirabeau",1570085,0,2
531,SEPT18-IneoA06-Jeudi-00-0001000,5401429-SEPT18-IneoA06-Jeudi-00-0001000,"Guipavas",1570084,1,2
531,SEPT18-IneoA06-Jeudi-00-0001000,5401431-SEPT18-IneoA06-Jeudi-00-0001000,"Guipavas",1570095,1,2
540,SEPT18-IneoA06-Jeudi-00,5401432-SEPT18-IneoA06-Jeudi-00,"Lanroze",1570061,0,2
540,SEPT18-IneoA06-Jeudi-00,5401433-SEPT18-IneoA06-Jeudi-00,"Strasbourg",1570063,0,2
540,SEPT18-IneoA06-Jeudi-00-0001000,5401434-SEPT18-IneoA06-Jeudi-00-0001000,"Plougastel",1570064,1,2
540,SEPT18-IneoA06-Jeudi-00-0001000,5401435-SEPT18-IneoA06-Jeudi-00-0001000,"Plougastel",1570033,1,2
541,SEPT18-IneoA06-Jeudi-00,5401437-SEPT18-IneoA06-Jeudi-00,"Mirabeau",1570065,0,2
541,SEPT18-IneoA06-Jeudi-00-0001000,5401438-SEPT18-IneoA06-Jeudi-00-0001000,"Plougastel",1570102,1,2
553,SEPT18-IneoA06-Jeudi-00,5401439-SEPT18-IneoA06-Jeudi-00,"A Ronarc'h",1569964,0,2
551,SEPT18-IneoA06-Jeudi-00,5401440-SEPT18-IneoA06-Jeudi-00,"Lanroze",1569960,0,2
560,SEPT18-IneoA06-Jeudi-00-0001000,5401441-SEPT18-IneoA06-Jeudi-00-0001000,"Le Relecq",1570062,1,2
560,SEPT18-IneoA06-Jeudi-00-0001000,5401442-SEPT18-IneoA06-Jeudi-00-0001000,"Le Relecq",1569976,1,2
560,SEPT18-IneoA06-Jeudi-00,5401444-SEPT18-IneoA06-Jeudi-00,"Lanroze",1569961,0,2
560,SEPT18-IneoA06-Jeudi-00,5401445-SEPT18-IneoA06-Jeudi-00,"Mirabeau",1569957,0,2
1,SEPT18-IneoA06-Jeudi-00,5401446-SEPT18-IneoA06-Jeudi-00,"Fort Montbarey",1570051,0,1
1,SEPT18-IneoA06-Jeudi-00,5401447-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1570018,1,1
1,SEPT18-IneoA06-Jeudi-00,5401448-SEPT18-IneoA06-Jeudi-00,"Fort Montbarey",1569995,0,1
1,SEPT18-IneoA06-Jeudi-00,5401449-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569984,1,1
1,SEPT18-IneoA06-Jeudi-00,5401450-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569985,1,1
1,SEPT18-IneoA06-Jeudi-00,5401451-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569987,1,1
1,SEPT18-IneoA06-Jeudi-00,5401452-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569989,1,1
1,SEPT18-IneoA06-Jeudi-00,5401453-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569995,1,1
1,SEPT18-IneoA06-Jeudi-00,5401454-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569999,1,1
1,SEPT18-IneoA06-Jeudi-00,5401455-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569986,1,1
1,SEPT18-IneoA06-Jeudi-00,5401456-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1570036,1,1
1,SEPT18-IneoA06-Jeudi-00,5401457-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569988,1,1
1,SEPT18-IneoA06-Jeudi-00,5401458-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569992,1,1
1,SEPT18-IneoA06-Jeudi-00,5401459-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569984,1,1
1,SEPT18-IneoA06-Jeudi-00,5401460-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569993,1,1
1,SEPT18-IneoA06-Jeudi-00,5401461-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569985,1,1
1,SEPT18-IneoA06-Jeudi-00,5401462-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569990,1,1
1,SEPT18-IneoA06-Jeudi-00,5401463-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569987,1,1
1,SEPT18-IneoA06-Jeudi-00,5401464-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569989,1,1
1,SEPT18-IneoA06-Jeudi-00,5401465-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1570051,1,1
1,SEPT18-IneoA06-Jeudi-00,5401466-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569995,1,1
1,SEPT18-IneoA06-Jeudi-00,5401467-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1570021,1,1
1,SEPT18-IneoA06-Jeudi-00,5401468-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569986,1,1
1,SEPT18-IneoA06-Jeudi-00,5401469-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1570036,1,1
1,SEPT18-IneoA06-Jeudi-00,5401470-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569988,1,1
1,SEPT18-IneoA06-Jeudi-00,5401471-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569992,1,1
1,SEPT18-IneoA06-Jeudi-00,5401472-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569999,1,1
1,SEPT18-IneoA06-Jeudi-00,5401473-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569985,1,1
1,SEPT18-IneoA06-Jeudi-00,5401474-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1570011,1,1
1,SEPT18-IneoA06-Jeudi-00,5401475-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569990,1,1
1,SEPT18-IneoA06-Jeudi-00,5401476-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569989,1,1
1,SEPT18-IneoA06-Jeudi-00,5401477-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1570051,1,1
1,SEPT18-IneoA06-Jeudi-00,5401478-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569995,1,1
1,SEPT18-IneoA06-Jeudi-00,5401479-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569986,1,1
1,SEPT18-IneoA06-Jeudi-00,5401480-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1570036,1,1
1,SEPT18-IneoA06-Jeudi-00,5401481-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1570017,1,1
1,SEPT18-IneoA06-Jeudi-00,5401482-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569992,1,1
1,SEPT18-IneoA06-Jeudi-00,5401483-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569999,1,1
1,SEPT18-IneoA06-Jeudi-00,5401484-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569985,1,1
1,SEPT18-IneoA06-Jeudi-00,5401485-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1570011,1,1
1,SEPT18-IneoA06-Jeudi-00,5401486-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569990,1,1
1,SEPT18-IneoA06-Jeudi-00,5401487-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569989,1,1
1,SEPT18-IneoA06-Jeudi-00,5401488-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569987,1,1
1,SEPT18-IneoA06-Jeudi-00,5401489-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569995,1,1
1,SEPT18-IneoA06-Jeudi-00,5401490-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569986,1,1
1,SEPT18-IneoA06-Jeudi-00,5401491-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1570036,1,1
1,SEPT18-IneoA06-Jeudi-00,5401492-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1570017,1,1
1,SEPT18-IneoA06-Jeudi-00,5401493-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569992,1,1
1,SEPT18-IneoA06-Jeudi-00,5401494-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569988,1,1
1,SEPT18-IneoA06-Jeudi-00,5401495-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569972,1,1
1,SEPT18-IneoA06-Jeudi-00,5401496-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1570011,1,1
1,SEPT18-IneoA06-Jeudi-00,5401497-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569990,1,1
1,SEPT18-IneoA06-Jeudi-00,5401498-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1570018,1,1
1,SEPT18-IneoA06-Jeudi-00,5401499-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569989,1,1
1,SEPT18-IneoA06-Jeudi-00,5401500-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1570019,1,1
1,SEPT18-IneoA06-Jeudi-00,5401501-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569995,1,1
1,SEPT18-IneoA06-Jeudi-00,5401502-SEPT18-IneoA06-Jeudi-00,"Hôpital Cavale",1569986,1,1
